,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,system_date,runtime
0,GBM_grid_1_AutoML_20190421_195113_model_42,25227258681084860,158830912.23400077,25227258681084860,94917617.52713808,0.3265543276671246,2019-04-21,2000
1,XGBoost_grid_1_AutoML_20190421_201138_model_4,25414913759634904,159420556.26435038,25414913759634904,94284067.45487122,0.3305880552732152,2019-04-21,2000
2,XGBoost_grid_1_AutoML_20190421_204058_model_19,25438726742009896,159495224.8251022,25438726742009896,94327564.387458,0.3292691671184692,2019-04-21,2000
3,GBM_grid_1_AutoML_20190421_193852_model_8,25571141404123644,159909791.45794562,25571141404123644,95197723.51631412,0.3294268464571294,2019-04-21,2000
4,XGBoost_grid_1_AutoML_20190421_201138_model_18,25574313885274200,159919710.74659368,25574313885274200,94348004.11287794,0.32684768058220115,2019-04-21,2000
5,GBM_grid_1_AutoML_20190421_201138_model_30,25574940112831340,159921668.67823553,25574940112831340,95259064.965172,0.3309750466372732,2019-04-21,2000
6,GBM_1_AutoML_20190421_193027,25608395790612116,160026234.69485283,25608395790612116,96819212.36758102,0.3331421052832879,2019-04-21,2000
7,XGBoost_1_AutoML_20190421_204058,25635579970684772,160111148.80196434,25635579970684772,94639270.87480403,0.3228454901010292,2019-04-21,2000
8,XGBoost_grid_1_AutoML_20190421_195113_model_6,25721725199990868,160379940.14212272,25721725199990868,93286549.80694291,0.32099876349860906,2019-04-21,2000
9,XGBoost_1_AutoML_20190421_193852,25797215186942024,160615115.06375116,25797215186942024,94810332.9899216,0.32450802399745704,2019-04-21,2000
10,XGBoost_grid_1_AutoML_20190421_195113_model_13,25849046967440812,160776388.09054273,25849046967440812,94120200.90481524,0.32159487372180073,2019-04-21,2000
11,XGBoost_grid_1_AutoML_20190421_193852_model_2,25952266820254724,161097072.6619659,25952266820254724,94894840.43001121,0.3312410095198983,2019-04-21,2000
12,GBM_1_AutoML_20190421_201138,25963443620465856,161131758.57187763,25963443620465856,96516176.1353491,0.33086824621580657,2019-04-21,2000
13,XGBoost_1_AutoML_20190421_193027,25963672277632090,161132468.10507214,25963672277632090,94764756.53930572,0.3259822280000789,2019-04-21,2000
14,GBM_grid_1_AutoML_20190421_201138_model_19,25970363141852164,161153228.76645124,25970363141852164,95752982.34404252,0.33091755591032995,2019-04-21,2000
15,XGBoost_grid_1_AutoML_20190421_193852_model_4,26041375084170424,161373402.65412518,26041375084170424,93939690.124972,0.3258318217475044,2019-04-21,2000
16,XGBoost_grid_1_AutoML_20190421_204058_model_29,26045205004588520,161385268.85868028,26045205004588520,94615734.78701007,0.3278808315124762,2019-04-21,2000
17,GBM_grid_1_AutoML_20190421_201138_model_7,26057079433860144,161422053.7406836,26057079433860144,95563903.22454259,0.3354939483453697,2019-04-21,2000
18,XGBoost_1_AutoML_20190421_201138,26076835593861196,161483236.26265728,26076835593861196,95103060.1675252,0.32402854027943123,2019-04-21,2000
19,XGBoost_1_AutoML_20190421_195113,26116389773464900,161605661.32863322,26116389773464900,94746900.30638298,0.32484088813228545,2019-04-21,2000
20,XGBoost_grid_1_AutoML_20190421_193852_model_5,26119480117433132,161615222.41866058,26119480117433132,93547247.57267638,0.32035796372325376,2019-04-21,2000
21,XGBoost_2_AutoML_20190421_193027,26134884730871340,161662873.69359532,26134884730871340,94910189.58297873,0.3257761568094641,2019-04-21,2000
22,XGBoost_grid_1_AutoML_20190421_204058_model_14,26135504407946504,161664790.25423717,26135504407946504,95473677.50503922,0.3303282271125439,2019-04-21,2000
23,GBM_grid_1_AutoML_20190421_204058_model_11,26165455161795050,161757396.00338233,26165455161795050,99271301.28916112,,2019-04-21,2000
24,XGBoost_grid_1_AutoML_20190421_204058_model_12,26172243528584828,161778377.81540778,26172243528584828,94889800.77402017,0.326154611163018,2019-04-21,2000
25,XGBoost_grid_1_AutoML_20190421_193027_model_6,26210185668222092,161895601.13919738,26210185668222092,94276247.68555433,0.32725795145226344,2019-04-21,2000
26,XGBoost_grid_1_AutoML_20190421_193027_model_4,26245533553365630,162004733.1202568,26245533553365630,94036116.99888018,0.32265116904251684,2019-04-21,2000
27,GBM_grid_1_AutoML_20190421_201138_model_1,26260930927906684,162052247.52500868,26260930927906684,95509036.69415122,0.33674449736022594,2019-04-21,2000
28,XGBoost_2_AutoML_20190421_193852,26264856485215030,162064359.08371413,26264856485215030,94315665.56237404,0.3245158988519105,2019-04-21,2000
29,GBM_1_AutoML_20190421_193852,26279155633803444,162108468.7294388,26279155633803444,97327058.64444073,0.3321160066321965,2019-04-21,2000
30,GBM_grid_1_AutoML_20190421_201138_model_11,26280860570756184,162113727.27426934,26280860570756184,96006998.59726845,0.3294813037532445,2019-04-21,2000
31,GBM_grid_1_AutoML_20190421_204058_model_43,26307391388006624,162195534.42683503,26307391388006624,98745558.02377552,0.3347128282157712,2019-04-21,2000
32,XGBoost_grid_1_AutoML_20190421_204058_model_15,26328660183193856,162261086.47236976,26328660183193856,95177338.06405374,0.32765942000462583,2019-04-21,2000
33,XGBoost_2_AutoML_20190421_204058,26359797630609300,162357006.71855617,26359797630609300,95258820.24456888,0.3276706859534677,2019-04-21,2000
34,GBM_grid_1_AutoML_20190421_193852_model_5,26397887611581510,162474267.5366826,26397887611581510,95846051.24052164,0.32871123380665457,2019-04-21,2000
35,XGBoost_grid_1_AutoML_20190421_195113_model_1,26402263640530330,162487733.81560323,26402263640530330,95196532.89854424,0.32554400482747753,2019-04-21,2000
36,XGBoost_grid_1_AutoML_20190421_201138_model_2,26440286859799770,162604695.07305062,26440286859799770,98930110.07301232,0.33520670679043635,2019-04-21,2000
37,XGBoost_grid_1_AutoML_20190421_193852_model_7,26440379055855956,162604978.57032531,26440379055855956,98378239.81724524,0.3347187320143341,2019-04-21,2000
38,XGBoost_grid_1_AutoML_20190421_204058_model_1,26447610253712296,162627212.52518687,26447610253712296,96638352.72922732,0.3412669382543156,2019-04-21,2000
39,GBM_1_AutoML_20190421_195113,26447775038675720,162627719.15843782,26447775038675720,96956870.88674594,0.3322311562364472,2019-04-21,2000
40,XGBoost_grid_1_AutoML_20190421_204058_model_23,26475566091310376,162713140.49980837,26475566091310376,94479020.28846584,0.32556811472920383,2019-04-21,2000
41,GBM_grid_1_AutoML_20190421_204058_model_57,26479647829381960,162725682.75899768,26479647829381960,97094371.53599606,0.33616472117599805,2019-04-21,2000
42,XGBoost_grid_1_AutoML_20190421_201138_model_14,26495639933799268,162774813.57322842,26495639933799268,95632507.98342665,0.33301792825257737,2019-04-21,2000
43,GBM_grid_1_AutoML_20190421_204058_model_26,26504008715356716,162800518.16673285,26504008715356716,97541188.3707431,0.3375383478396395,2019-04-21,2000
44,GBM_4_AutoML_20190421_201138,26504156699475550,162800972.66133133,26504156699475550,97110565.34403303,0.33062249811169825,2019-04-21,2000
45,XGBoost_grid_1_AutoML_20190421_201138_model_10,26550677702084350,162943786.93919063,26550677702084350,99492473.83471444,0.3384269202087183,2019-04-21,2000
46,GBM_grid_1_AutoML_20190421_195113_model_37,26551301291761244,162945700.4396288,26551301291761244,96843428.8066808,0.3296300659680566,2019-04-21,2000
47,GBM_grid_1_AutoML_20190421_204058_model_2,26561462115960570,162976876.01607957,26561462115960570,96721838.788869,0.3317113653546345,2019-04-21,2000
48,GBM_grid_1_AutoML_20190421_201138_model_51,26606986233356456,163116480.56942758,26606986233356456,97015416.964475,0.3400265905172123,2019-04-21,2000
49,GBM_grid_1_AutoML_20190421_195113_model_12,26621985891812190,163162452.45709008,26621985891812190,97371794.3463068,0.3342788432510915,2019-04-21,2000
50,XGBoost_grid_1_AutoML_20190421_204058_model_8,26661475300952436,163283420.16552824,26661475300952436,100109372.96842106,0.3397931040893074,2019-04-21,2000
51,XGBoost_grid_1_AutoML_20190421_201138_model_23,26673117576966024,163319066.7894169,26673117576966024,99051195.4212766,0.335852122791964,2019-04-21,2000
52,XRT_1_AutoML_20190421_195113,26674899457743052,163324521.9118766,26674899457743052,97339614.72715662,0.3354960267200705,2019-04-21,2000
53,XGBoost_grid_1_AutoML_20190421_193027_model_1,26686565270913868,163360231.60767698,26686565270913868,95577150.18589026,0.3336293424643191,2019-04-21,2000
54,XGBoost_2_AutoML_20190421_195113,26710943791836092,163434830.41211286,26710943791836092,95830035.92653976,0.32538455093454777,2019-04-21,2000
55,XGBoost_grid_1_AutoML_20190421_204058_model_13,26732429167294980,163500547.911299,26732429167294980,93877891.0073908,0.3297229215874509,2019-04-21,2000
56,DRF_1_AutoML_20190421_193852,26740901050850308,163526453.67294648,26740901050850308,98123769.62061173,0.3381709947649401,2019-04-21,2000
57,GBM_grid_1_AutoML_20190421_195113_model_3,26754003456648976,163566510.80416486,26754003456648976,96901718.85117762,0.3482966745858672,2019-04-21,2000
58,XGBoost_grid_1_AutoML_20190421_201138_model_25,26769042509172504,163612476.63052016,26769042509172504,95718887.16954088,0.33300479668449895,2019-04-21,2000
59,XGBoost_grid_1_AutoML_20190421_201138_model_21,26776028754850630,163633825.21609226,26776028754850630,95528928.21500559,0.3266141279642094,2019-04-21,2000
60,XGBoost_2_AutoML_20190421_201138,26781426635620020,163650318.1653492,26781426635620020,95644628.01612544,0.325966382352594,2019-04-21,2000
61,XRT_1_AutoML_20190421_193852,26800758131434212,163709370.93347532,26800758131434212,97507679.0992101,0.3355553951861386,2019-04-21,2000
62,GBM_grid_1_AutoML_20190421_204058_model_44,26841059920457620,163832414.1324226,26841059920457620,96929540.23424621,0.32877559127123623,2019-04-21,2000
63,GBM_grid_1_AutoML_20190421_193852_model_18,26851196304206972,163863346.43295607,26851196304206972,97276308.73585878,0.33903167082554625,2019-04-21,2000
64,XGBoost_grid_1_AutoML_20190421_195113_model_7,26881414923038828,163955527.27199784,26881414923038828,94850248.69787234,0.3319173720441723,2019-04-21,2000
65,GBM_3_AutoML_20190421_195113,26897628337351956,164004964.36800918,26897628337351956,98761895.48653723,0.3346352072865905,2019-04-21,2000
66,GBM_grid_1_AutoML_20190421_201138_model_5,26954817103445630,164179222.50834796,26954817103445630,99668129.72840406,0.3412288533485873,2019-04-21,2000
67,GBM_grid_1_AutoML_20190421_195113_model_21,26968696030774370,164221484.68082482,26968696030774370,97679785.83315656,0.34760367168483985,2019-04-21,2000
68,GBM_grid_1_AutoML_20190421_204058_model_9,26972520999705668,164233130.03077567,26972520999705668,98318634.58270667,0.36314465934546175,2019-04-21,2000
69,GBM_grid_1_AutoML_20190421_195113_model_43,26996898173258790,164307328.42225507,26996898173258790,97696501.09934342,0.3385149190944335,2019-04-21,2000
70,GBM_3_AutoML_20190421_201138,26997948597426076,164310524.91373178,26997948597426076,98509510.8784,0.3327481624497605,2019-04-21,2000
71,GBM_4_AutoML_20190421_193027,27007662534862990,164340081.94857088,27007662534862990,97393457.22641207,0.3312914754145201,2019-04-21,2000
72,GBM_grid_1_AutoML_20190421_201138_model_26,27028741039255700,164404200.18739092,27028741039255700,98790857.34436391,0.3414104880947049,2019-04-21,2000
73,XGBoost_grid_1_AutoML_20190421_204058_model_4,27044913692896900,164453378.47820854,27044913692896900,94435994.43225084,0.3218908200361242,2019-04-21,2000
74,GBM_2_AutoML_20190421_201138,27044925139717820,164453413.28083715,27044925139717820,99409985.70096678,0.3349279005391009,2019-04-21,2000
75,GBM_4_AutoML_20190421_195113,27074754873791588,164544081.85587102,27074754873791588,97746910.73060709,0.33023946737413834,2019-04-21,2000
76,XRT_1_AutoML_20190421_204058,27076449205027720,164549230.33860633,27076449205027720,98320007.87458009,0.3371065274485402,2019-04-21,2000
77,XGBoost_grid_1_AutoML_20190421_204058_model_6,27108987498344932,164648071.65085456,27108987498344932,93430810.11601344,0.3226087056035736,2019-04-21,2000
78,XGBoost_grid_1_AutoML_20190421_201138_model_8,27110711837044396,164653308.00516698,27110711837044396,96430777.26047032,0.32915182638190044,2019-04-21,2000
79,GBM_2_AutoML_20190421_195113,27168322631996316,164828160.91917157,27168322631996316,99839915.38183944,0.3364256346015799,2019-04-21,2000
80,XGBoost_grid_1_AutoML_20190421_204058_model_28,27179370693368204,164861671.38958707,27179370693368204,97179616.89899217,0.3386117547854332,2019-04-21,2000
81,XGBoost_grid_1_AutoML_20190421_204058_model_16,27190576736213420,164895654.08528334,27190576736213420,95427216.64456888,0.33054579805188755,2019-04-21,2000
82,DRF_1_AutoML_20190421_195113,27208563320183270,164950184.35934916,27208563320183270,99406448.30331524,0.33806333010629924,2019-04-21,2000
83,XGBoost_grid_1_AutoML_20190421_195113_model_2,27213927496490508,164966443.54683322,27213927496490508,100363822.69921613,0.33777746022257593,2019-04-21,2000
84,XGBoost_grid_1_AutoML_20190421_204058_model_5,27219140040015332,164982241.58986118,27219140040015332,93958174.656215,0.323295764032842,2019-04-21,2000
85,GBM_4_AutoML_20190421_193852,27249419765676480,165073982.70374554,27249419765676480,98502566.73291816,0.3328970479644612,2019-04-21,2000
86,GBM_grid_1_AutoML_20190421_195113_model_1,27313380375151132,165267602.31561154,27313380375151132,98805541.6198987,0.3352877719111742,2019-04-21,2000
87,GBM_3_AutoML_20190421_204058,27322174751437356,165294206.64813802,27322174751437356,99445913.24279952,0.33442507203380994,2019-04-21,2000
88,XGBoost_grid_1_AutoML_20190421_195113_model_12,27340805403037500,165350553.0775071,27340805403037500,100353150.8774916,0.3412700636049968,2019-04-21,2000
89,GBM_grid_1_AutoML_20190421_193027_model_2,27388079208336188,165493441.58707982,27388079208336188,98562865.55332977,0.336311590042542,2019-04-21,2000
90,XGBoost_grid_1_AutoML_20190421_201138_model_1,27404219444095748,165542198.37882948,27404219444095748,96023227.5762598,0.3260053792277379,2019-04-21,2000
91,GBM_3_AutoML_20190421_193852,27418320451079012,165584783.27152833,27418320451079012,99587680.72650307,0.33538926428496274,2019-04-21,2000
92,XGBoost_grid_1_AutoML_20190421_193852_model_10,27419574434052736,165588569.75664935,27419574434052736,96152521.0956327,0.32640355785193,2019-04-21,2000
93,GBM_4_AutoML_20190421_204058,27460893633604108,165713287.43828633,27460893633604108,98118700.03232342,0.3325045185737349,2019-04-21,2000
94,GBM_grid_1_AutoML_20190421_201138_model_16,27480846605509372,165773479.8015333,27480846605509372,100251504.14712696,0.34622829065515776,2019-04-21,2000
95,GBM_1_AutoML_20190421_204058,27487466060243188,165793443.96037856,27487466060243188,98476117.49157266,0.336222196535323,2019-04-21,2000
96,GBM_grid_1_AutoML_20190421_201138_model_33,27500429113770068,165832533.33942068,27500429113770068,99094372.77346472,0.3406753116908627,2019-04-21,2000
97,GBM_grid_1_AutoML_20190421_195113_model_32,27506839385968730,165851859.7603558,27506839385968730,99114755.59752412,0.35026777925846875,2019-04-21,2000
98,GBM_grid_1_AutoML_20190421_193852_model_15,27507817383138616,165854808.13994697,27507817383138616,97947971.33540766,0.3302751494734535,2019-04-21,2000
99,DRF_1_AutoML_20190421_201138,27538943204486468,165948616.15719026,27538943204486468,99649544.05235484,0.33965199619778536,2019-04-21,2000
100,GBM_grid_1_AutoML_20190421_204058_model_14,27546213411296920,165970519.70544925,27546213411296920,98239510.49212116,0.33422519683575536,2019-04-21,2000
101,GBM_2_AutoML_20190421_193027,27583374052185924,166082431.49769312,27583374052185924,101012846.90034136,0.3388681406396465,2019-04-21,2000
102,XGBoost_grid_1_AutoML_20190421_195113_model_4,27612081448224204,166168834.166411,27612081448224204,96129250.03449048,0.3391486676396082,2019-04-21,2000
103,GBM_3_AutoML_20190421_193027,27664062115152828,166325169.8184999,27664062115152828,99311822.14091992,0.33381452374477977,2019-04-21,2000
104,XGBoost_grid_1_AutoML_20190421_193027_model_2,27678389956980028,166368236.0217239,27678389956980028,97946028.47928332,0.32966277380840164,2019-04-21,2000
105,XGBoost_grid_1_AutoML_20190421_201138_model_19,27698334005133900,166428164.69916955,27698334005133900,96297416.31354985,0.3244600156441625,2019-04-21,2000
106,XGBoost_grid_1_AutoML_20190421_201138_model_24,27743023693091650,166562371.78033835,27743023693091650,96177647.2362822,0.3382207108439227,2019-04-21,2000
107,GBM_grid_1_AutoML_20190421_204058_model_53,27754287781167536,166596181.772475,27754287781167536,99776408.8055961,0.3585451207494131,2019-04-21,2000
108,GBM_grid_1_AutoML_20190421_193852_model_7,27797080832182332,166724565.7729608,27797080832182332,100784946.62844037,0.35029267343570797,2019-04-21,2000
109,GBM_2_AutoML_20190421_193852,27812828429957544,166771785.47331542,27812828429957544,100681017.58989777,0.33896955154256136,2019-04-21,2000
110,XGBoost_grid_1_AutoML_20190421_204058_model_27,27842296472096044,166860110.48808533,27842296472096044,95872480.3162374,0.33518041018742145,2019-04-21,2000
111,GBM_2_AutoML_20190421_204058,27866748172534444,166933364.4677853,27866748172534444,100582811.90229572,0.3379926852648215,2019-04-21,2000
112,XGBoost_grid_1_AutoML_20190421_204058_model_2,27885016330575610,166988072.42008516,27885016330575610,97335407.756327,0.3277923538794265,2019-04-21,2000
113,XRT_1_AutoML_20190421_201138,27927396426327524,167114919.81964844,27927396426327524,99210401.84798452,0.3403288637251221,2019-04-21,2000
114,XRT_1_AutoML_20190421_193027,27932997379142360,167131676.76757857,27932997379142360,99459972.8864157,0.33818160810970993,2019-04-21,2000
115,XGBoost_grid_1_AutoML_20190421_193027_model_3,27953486006755252,167192960.39832315,27953486006755252,98370607.3961926,0.3315897108850539,2019-04-21,2000
116,DRF_1_AutoML_20190421_193027,28016822318871584,167382264.05109826,28016822318871584,99031387.1455244,0.3408470418439786,2019-04-21,2000
117,GBM_grid_1_AutoML_20190421_195113_model_5,28082567727412210,167578541.96588597,28082567727412210,98942788.15666255,0.3392788049586035,2019-04-21,2000
118,XGBoost_grid_1_AutoML_20190421_201138_model_5,28112443179696212,167667656.92791265,28112443179696212,98762892.27592383,0.33449358769609144,2019-04-21,2000
119,XGBoost_grid_1_AutoML_20190421_204058_model_25,28126786790540890,167710425.4080255,28126786790540890,102369994.59350504,0.3426296054390996,2019-04-21,2000
120,GBM_grid_1_AutoML_20190421_193027_model_6,28134553045982250,167733577.57462353,28134553045982250,100545795.54841888,0.3410622703819653,2019-04-21,2000
121,GBM_grid_1_AutoML_20190421_195113_model_45,28136858131673456,167740448.70475772,28136858131673456,99070259.345193,0.34488435370655723,2019-04-21,2000
122,GBM_grid_1_AutoML_20190421_195113_model_31,28142525249378444,167757340.37406066,28142525249378444,103090799.0245553,0.3464363719865458,2019-04-21,2000
123,XGBoost_grid_1_AutoML_20190421_193852_model_1,28151999485235524,167785575.91531974,28151999485235524,97642684.97827548,0.3289291112922155,2019-04-21,2000
124,GBM_grid_1_AutoML_20190421_195113_model_38,28158518030205416,167805000.01551032,28158518030205416,101193936.54651748,0.3410475675917061,2019-04-21,2000
125,GBM_grid_1_AutoML_20190421_193852_model_16,28185621089782890,167885738.19649747,28185621089782890,101147494.05638872,0.3381587959483219,2019-04-21,2000
126,GBM_grid_1_AutoML_20190421_201138_model_49,28212598903447596,167966064.73763558,28212598903447596,99271637.973952,0.3499008941070819,2019-04-21,2000
127,XGBoost_grid_1_AutoML_20190421_204058_model_32,28245188085541040,168063047.94790864,28245188085541040,96063714.62038074,0.32443311232275,2019-04-21,2000
128,DRF_1_AutoML_20190421_204058,28246104170836650,168065773.34733164,28246104170836650,99366767.2903928,0.3400797029136696,2019-04-21,2000
129,XGBoost_grid_1_AutoML_20190421_201138_model_11,28254167162284720,168089759.24274722,28254167162284720,96862276.61455768,0.3259298855499593,2019-04-21,2000
130,XGBoost_3_AutoML_20190421_193027,28277404641281270,168158867.26926202,28277404641281270,102986364.77849944,0.3448139231128953,2019-04-21,2000
