Company Name,Date of establishment,Artists,Typical Artists
Sony Music Entertainment Inc.,2/2/98,56, Joan Jett
RCA Rcords,3/4/02,32,Avril Lavigne
Arista Records,1/4/01,42, Brett James
Epic Records,4/9/01,34,Mariah Carey
Nettwerk,9/8/08,23,Coldplay
 Def Jam Recordings,10/12/09,56,Rihanna
Big Machine Records,10/11/99,23,Taylor Swift
CAPITOL RECORDS.,9/10/97,29,katy Perry
Interscope Records,12/12/02,32,Maroon5
Atlantic Records,6/12/99,19,Bruno Mars
Republic Records,2/4/97,23,Ariana Grande